conabio_id,clave_original,tipo_alimento,food_type,descripcion_alimento,food_description,procedencia,referencias_ids,taxon_id,taxon,categoria,estatus,fuente,nombre_autoridad,cites,Ácido ascórbico,Ácido  láurico,Ácido araquídico,Ácido aspártico,Ácido behénico,Ácido Butírico,Ácido caprico,Ácido caprílico,Ácido caproico,Ácido cis-10-heptadecanoico,Ácido cis-11-eicosenoico,Ácido cis-11;14-eicosatrienoico,Ácido cis-11;14;17-eicosatrienoico,Ácido elaídico,Ácido esteárico,Ácido glutámico,Ácido heneicosanoico,Ácido heptadecanoico,Ácido lignocérico,Ácido linoleico,Ácido linolénico,Ácido mirístico,Ácido oleico,Ácido palmítico,Ácido palmitoleico,Ácido pentadecanoico,Ácido tricosanoico,Ácido undecanoico,Ácido y-linolénico,Ácidos grasos saturados,Alanina,Almidón,Aminoácidos aromáticos totales,Aminoácidos azufrados totales,Arginina,Azúcares,Beta carotenos,Calcio,Carotenos,Cenizas,Cisteína,Cobre,Colesterol,Energía,Extracto etéreo,Fenilalanina,Fibra bruta,Fibra dietaria insoluble,Fibra dietaria total,Fósforo,Glicina,Hidratos de carbono,Hierro,Histidina,Humedad,Isoleucina,Lactosa,Leucina,Lisina,Litio,Magnesio,Manganeso,Metionina,Niacina,Polisacáridos no amiláceos insolubles,Polisacáridos no amiláceos totales,Porción comestible,Potasio,Prolina,Proteína bruta,Riboflavina (Vitamina B2),Selenio,Serina,Sodio,Tiamina (Vitamina B1),Tirosina,Treonina,Triptófano,Valina,Vitamina A,Zinc,Similar abajo?,Similar arriba?,Check for similar items,Columnas sin macro o micronutrientes,Columnas con macro o micronutrientes
2569,232,SEMILLAS DE CEREALES Y DERIVADOS,MISCELLANEOUS,"Trigo Pasta Para Sopa, Aguada De Codito - Wheat (Soup) Pasta, Macaroni In Broth (Short Pasta)","Wheat (Soup) Pasta, Macaroni In Broth (Short Pasta)","Cocina Económica Alcaldía Benito Juárez 1, Portales Norte, Portales Sur","['55,56']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12 g,,,,29.63 kcal,0.66 g,,0 g,,,,,6.73 g,,,90.4 g,,,,,,,,,,,,,,,1.07 g,,,,421.82 mg,,,,,,,,FALSO,FALSO,Valor único,73,8
257,2385,"AZÚCARES, MIELES Y DULCES","SUGAR, HONEY AND CANDY",Miel De Maguey - Honey Maguey Juice,Honey Maguey Juice,,['36'],,,,,,,,0 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23 mg,,2 g,,,,302 kcal,0.3 g,,,,,20.2 mg,,75.8 g,4.3 mg,,20.3 g,,,,,,39.4 mg,,,,,,1%,,,1.6 g,0 mg,,,2.3 mg,0.32 mg,,,,,42.12 U.I.,,FALSO,FALSO,Valor único,65,16
2570,287,SEMILLAS DE CEREALES Y DERIVADOS,CEREALS AND BY-PRODUCTS,"Trigo Pasta Para Sopa, Aguada De Codito Con Espinaca - Wheat (Soup) Pasta, Macaroni With Spinach In Broth (Short Pasta)","Wheat (Soup) Pasta, Macaroni With Spinach In Broth (Short Pasta)","Cocina Económica Alcaldía Benito Juárez 2, Letrán Valle,Vertiz Narvarte, Nápoles","['55,56']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38 g,,,,49.64 kcal,0.87 g,,0 g,,,,,5.86 g,,,90.8 g,,,,,,,,,,,,,,,1.15 g,,,,364.05 mg,,,,,,,,FALSO,FALSO,Valor único,73,8
2571,76,SEMILLAS DE CEREALES Y DERIVADOS,CEREALS AND BY-PRODUCTS,"Trigo Pasta Para Sopa, Aguada De Fideo - Wheat (Soup) Pasta, Noodle  In Broth (Short Pasta)","Wheat (Soup) Pasta, Noodle  In Broth (Short Pasta)","Cocina Económica Alcaldía Gustavo A. Madero 1, La Raza, Arenal, Vallejo Poniente","['55,56']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88 g,,,,30.39 kcal,1.39 g,,0 g,,,,,6.21 g,,,89.7 g,,,,,,,,,,,,,,,1.83 g,,,,274.51 mg,,,,,,,,VERDADERO,FALSO,Posibles valores repetidos,73,8
2572,123,SEMILLAS DE CEREALES Y DERIVADOS,CEREALS AND BY-PRODUCTS,"Trigo Pasta Para Sopa, Aguada De Fideo - Wheat (Soup) Pasta, Noodle  In Broth (Short Pasta)","Wheat (Soup) Pasta, Noodle  In Broth (Short Pasta)","Cocina Económica Alcaldía Cuajimalpa 1, El Molino, Rosa Torres","['55,56']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86 g,,,,32.04 kcal,0.76 g,,0 g,,,,,6.47 g,,,90.8 g,,,,,,,,,,,,,,,1.1 g,,,,310.98 mg,,,,,,,,VERDADERO,VERDADERO,Posibles valores repetidos,73,8
2573,165,SEMILLAS DE CEREALES Y DERIVADOS,CEREALS AND BY-PRODUCTS,"Trigo Pasta Para Sopa, Aguada De Fideo - Wheat (Soup) Pasta, Noodle  In Broth (Short Pasta)","Wheat (Soup) Pasta, Noodle  In Broth (Short Pasta)","Cocina Económica Alcaldía Cuajimalpa 2, Cuajimalpa, El Yaqui, Jesús del Monte","['55,56']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9 g,,,,64.61 kcal,0.44 g,,0.03 g,,,,,10.69 g,,,87.1 g,,,,,,,,,,,,,,,0.89 g,,,,299.28 mg,,,,,,,,VERDADERO,VERDADERO,Posibles valores repetidos,73,8
2574,196,SEMILLAS DE CEREALES Y DERIVADOS,CEREALS AND BY-PRODUCTS,"Trigo Pasta Para Sopa, Aguada De Fideo - Wheat (Soup) Pasta, Noodle  In Broth (Short Pasta)","Wheat (Soup) Pasta, Noodle  In Broth (Short Pasta)","Cocina Económica Alcaldía Iztapalapa 1, Leyes de Reforma 1a. Sección, Barrio San Miguel","['55,56']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74 g,,,,24.67 kcal,0.07 g,,0 g,,,,,6.03 g,,,91.9 g,,,,,,,,,,,,,,,1.28 g,,,,269.18 mg,,,,,,,,FALSO,VERDADERO,Posibles valores repetidos,73,8
2575,51,SEMILLAS DE CEREALES Y DERIVADOS,CEREALS AND BY-PRODUCTS,"Trigo Pasta Para Sopa, Aguada De Moñito - Wheat (Soup) Pasta, Moño In Broth (Short Pasta)","Wheat (Soup) Pasta, Moño In Broth (Short Pasta)","Cocina Económica Alcaldía Tlalpan II, Lomas de Padierna, Héroes de Padierna","['55,56']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93 g,,,,46.27 kcal,0.96 g,,0 g,,,,,6.07 g,,,90.5 g,,,,,,,,,,,,,,,1.52 g,,,,303.15 mg,,,,,,,,VERDADERO,FALSO,Posibles valores repetidos,73,8
2576,216,SEMILLAS DE CEREALES Y DERIVADOS,CEREALS AND BY-PRODUCTS,"Trigo Pasta Para Sopa, Aguada De Moñito - Wheat (Soup) Pasta, Moño In Broth (Short Pasta)","Wheat (Soup) Pasta, Moño In Broth (Short Pasta)","Cocina Económica Alcaldía Iztapalapa 2, Juan Escutia","['55,56']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29 g,,,,45.96 kcal,0.7 g,,0 g,,,,,5.95 g,,,90.8 g,,,,,,,,,,,,,,,1.22 g,,,,457.54 mg,,,,,,,,FALSO,VERDADERO,Posibles valores repetidos,73,8
2577,308,SEMILLAS DE CEREALES Y DERIVADOS,CEREALS AND BY-PRODUCTS,"Trigo Pasta Para Sopa, Aguada De Tallarines - Wheat (Soup) Pasta, Noodle  In Broth (Short Pasta)","Wheat (Soup) Pasta, Noodle  In Broth (Short Pasta)","Cocina Económica Alcaldía Gustavo A. Madero 2, Lindavista Sur, San Bartolo Atepehuacan","['55,56']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19 g,,,,22.16 kcal,0.38 g,,4.09 g,,,,,1.51 g,,,91.53 g,,,,,,,,,,,,,,,1.3 g,,,,371.93 mg,,,,,,,,FALSO,FALSO,Valor único,73,8
